Artist,Album,TrackName,TrackId,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,URI,Track-Href,Analysis-Url,Duration_ms,Time_signature
Peach Pit,Being So Normal,Alrighty Aphrodite,6OiRh4kttAs1YWglvTcYkB,0.534,0.724,6,-4.675,0,0.0495,0.00605,0.0929,0.108,0.503,81.846,audio_features,6OiRh4kttAs1YWglvTcYkB,spotify:track:6OiRh4kttAs1YWglvTcYkB,https://api.spotify.com/v1/tracks/6OiRh4kttAs1YWglvTcYkB,https://api.spotify.com/v1/audio-analysis/6OiRh4kttAs1YWglvTcYkB,207813,4
Slothrust,Parallel Timeline,Once More For The Ocean,6NpnneI7QmyW69KoPu75gH,0.511,0.964,11,-4.726,0,0.155,0.0131,0,0.176,0.641,163.885,audio_features,6NpnneI7QmyW69KoPu75gH,spotify:track:6NpnneI7QmyW69KoPu75gH,https://api.spotify.com/v1/tracks/6NpnneI7QmyW69KoPu75gH,https://api.spotify.com/v1/audio-analysis/6NpnneI7QmyW69KoPu75gH,217160,4
Andrew Bird,Armchair Apocrypha,Imitosis,5FXLIKdvJE29otScgM8VD4,0.849,0.612,9,-8.553,0,0.0378,0.628,4.94e-05,0.0983,0.949,114.366,audio_features,5FXLIKdvJE29otScgM8VD4,spotify:track:5FXLIKdvJE29otScgM8VD4,https://api.spotify.com/v1/tracks/5FXLIKdvJE29otScgM8VD4,https://api.spotify.com/v1/audio-analysis/5FXLIKdvJE29otScgM8VD4,240933,4
Neutral Milk Hotel,In the Aeroplane Over the Sea,"Holland, 1945",64DpBZj4IlDFzCwxTq7azl,0.0621,0.887,7,-4.305,1,0.0632,0.0399,0.000156,0.619,0.48,198.441,audio_features,64DpBZj4IlDFzCwxTq7azl,spotify:track:64DpBZj4IlDFzCwxTq7azl,https://api.spotify.com/v1/tracks/64DpBZj4IlDFzCwxTq7azl,https://api.spotify.com/v1/audio-analysis/64DpBZj4IlDFzCwxTq7azl,192533,4
The Mountain Goats,The Sunset Tree,This Year,0s9aeZriwqyBYfxFzsd20R,0.699,0.719,9,-9.483,1,0.0312,0.118,0.00263,0.0913,0.831,138.957,audio_features,0s9aeZriwqyBYfxFzsd20R,spotify:track:0s9aeZriwqyBYfxFzsd20R,https://api.spotify.com/v1/tracks/0s9aeZriwqyBYfxFzsd20R,https://api.spotify.com/v1/audio-analysis/0s9aeZriwqyBYfxFzsd20R,232893,4
Neutral Milk Hotel,In the Aeroplane Over the Sea,King of Carrot Flowers Pt. 1,5CU1bbfY1wUPm7fU255Dhf,0.407,0.519,5,-6.47,1,0.0336,0.11,0.889,0.409,0.342,94.001,audio_features,5CU1bbfY1wUPm7fU255Dhf,spotify:track:5CU1bbfY1wUPm7fU255Dhf,https://api.spotify.com/v1/tracks/5CU1bbfY1wUPm7fU255Dhf,https://api.spotify.com/v1/audio-analysis/5CU1bbfY1wUPm7fU255Dhf,120427,4
Dr. Dog,"Shame, Shame (Deluxe Edition)",Shadow People,209g8XrYu3ov4Wt4bRk2Yw,0.434,0.707,7,-5.472,1,0.0399,0.119,0,0.0997,0.477,176.612,audio_features,209g8XrYu3ov4Wt4bRk2Yw,spotify:track:209g8XrYu3ov4Wt4bRk2Yw,https://api.spotify.com/v1/tracks/209g8XrYu3ov4Wt4bRk2Yw,https://api.spotify.com/v1/audio-analysis/209g8XrYu3ov4Wt4bRk2Yw,253093,4
fin,Lost at Sea,Ship in a Bottle,7EioHGLoCcjuIgQwKh8O8H,0.397,0.727,2,-7.358,1,0.0709,0.33,0,0.0812,0.42,108.005,audio_features,7EioHGLoCcjuIgQwKh8O8H,spotify:track:7EioHGLoCcjuIgQwKh8O8H,https://api.spotify.com/v1/tracks/7EioHGLoCcjuIgQwKh8O8H,https://api.spotify.com/v1/audio-analysis/7EioHGLoCcjuIgQwKh8O8H,314047,3
The Amazing Devil,The Horror and the Wild,The Horror and the Wild,2JV3zPHRCzw7w8NA4wT7r3,0.484,0.736,7,-9.044,0,0.0615,0.0634,0.0246,0.248,0.412,96.567,audio_features,2JV3zPHRCzw7w8NA4wT7r3,spotify:track:2JV3zPHRCzw7w8NA4wT7r3,https://api.spotify.com/v1/tracks/2JV3zPHRCzw7w8NA4wT7r3,https://api.spotify.com/v1/audio-analysis/2JV3zPHRCzw7w8NA4wT7r3,280584,4
Seeing Double,Leah//Don't Wait,Leah,0zgIgtRQQuigpX4ox5uWwA,0.553,0.634,5,-8.37,1,0.028,0.191,0.000904,0.113,0.655,129.881,audio_features,0zgIgtRQQuigpX4ox5uWwA,spotify:track:0zgIgtRQQuigpX4ox5uWwA,https://api.spotify.com/v1/tracks/0zgIgtRQQuigpX4ox5uWwA,https://api.spotify.com/v1/audio-analysis/0zgIgtRQQuigpX4ox5uWwA,260709,4
The Flaming Lips,Yoshimi Battles the Pink Robots,"Yoshimi Battles the Pink Robots, Pt. 1",0ccCwNzXvr1Yoz91vKz31Z,0.555,0.902,0,-7.918,1,0.0958,0.337,0,0.152,0.62,156.108,audio_features,0ccCwNzXvr1Yoz91vKz31Z,spotify:track:0ccCwNzXvr1Yoz91vKz31Z,https://api.spotify.com/v1/tracks/0ccCwNzXvr1Yoz91vKz31Z,https://api.spotify.com/v1/audio-analysis/0ccCwNzXvr1Yoz91vKz31Z,287507,4
Cream,The Very Best Of Cream,Anyone For Tennis,6vJ7Eh9EnJ8i4RXUV1usRz,0.53,0.297,7,-16.572,1,0.0299,0.743,7.19e-06,0.156,0.729,90.301,audio_features,6vJ7Eh9EnJ8i4RXUV1usRz,spotify:track:6vJ7Eh9EnJ8i4RXUV1usRz,https://api.spotify.com/v1/tracks/6vJ7Eh9EnJ8i4RXUV1usRz,https://api.spotify.com/v1/audio-analysis/6vJ7Eh9EnJ8i4RXUV1usRz,158253,4
Cream,Disraeli Gears (Deluxe Edition),World Of Pain,6OWonlTNJpRwNRI6IYDY0a,0.425,0.407,2,-12.532,1,0.0291,0.253,0.00164,0.187,0.61,106.92,audio_features,6OWonlTNJpRwNRI6IYDY0a,spotify:track:6OWonlTNJpRwNRI6IYDY0a,https://api.spotify.com/v1/tracks/6OWonlTNJpRwNRI6IYDY0a,https://api.spotify.com/v1/audio-analysis/6OWonlTNJpRwNRI6IYDY0a,182453,4
Autoheart,Punch,Hungover in the City of Dust,6YxJ2V3j7OZnX7dIhdR8Ch,0.49,0.404,0,-12.529,1,0.0305,0.435,0.00567,0.0779,0.152,143.938,audio_features,6YxJ2V3j7OZnX7dIhdR8Ch,spotify:track:6YxJ2V3j7OZnX7dIhdR8Ch,https://api.spotify.com/v1/tracks/6YxJ2V3j7OZnX7dIhdR8Ch,https://api.spotify.com/v1/audio-analysis/6YxJ2V3j7OZnX7dIhdR8Ch,291296,4
Autoheart,Punch,Agoraphobia,4OIuUoYoO87LnzzaHNp1Ej,0.437,0.248,2,-15.22,1,0.0287,0.804,0.00252,0.091,0.222,139.728,audio_features,4OIuUoYoO87LnzzaHNp1Ej,spotify:track:4OIuUoYoO87LnzzaHNp1Ej,https://api.spotify.com/v1/tracks/4OIuUoYoO87LnzzaHNp1Ej,https://api.spotify.com/v1/audio-analysis/4OIuUoYoO87LnzzaHNp1Ej,265929,4
The Tragic Thrills,On Florence Street,Persephone,0L9c6xtjgeHjcDaMjS752x,0.466,0.125,2,-11.579,1,0.0307,0.708,0,0.114,0.108,106.107,audio_features,0L9c6xtjgeHjcDaMjS752x,spotify:track:0L9c6xtjgeHjcDaMjS752x,https://api.spotify.com/v1/tracks/0L9c6xtjgeHjcDaMjS752x,https://api.spotify.com/v1/audio-analysis/0L9c6xtjgeHjcDaMjS752x,150293,4
Radiohead,The Bends,Fake Plastic Trees,045sp2JToyTaaKyXkGejPy,0.454,0.229,2,-12.592,1,0.0297,0.167,0.102,0.202,0.134,73.552,audio_features,045sp2JToyTaaKyXkGejPy,spotify:track:045sp2JToyTaaKyXkGejPy,https://api.spotify.com/v1/tracks/045sp2JToyTaaKyXkGejPy,https://api.spotify.com/v1/audio-analysis/045sp2JToyTaaKyXkGejPy,290707,4
Will Wood and the Tapeworms,Everything is a Lot,"Skeleton Appreciation Day in Vestal, NY (Bones)",1788x4xlNC5GiIgLYglxMW,0.612,0.686,0,-6.24,1,0.0616,0.343,4.55e-06,0.616,0.553,122.133,audio_features,1788x4xlNC5GiIgLYglxMW,spotify:track:1788x4xlNC5GiIgLYglxMW,https://api.spotify.com/v1/tracks/1788x4xlNC5GiIgLYglxMW,https://api.spotify.com/v1/audio-analysis/1788x4xlNC5GiIgLYglxMW,244560,4
The Crane Wives,Coyote Stories,The Hand That Feeds,4IXjfRKNUvj7ynTiHNmLQY,0.362,0.52,0,-7.858,0,0.0392,0.224,0,0.105,0.15,179.013,audio_features,4IXjfRKNUvj7ynTiHNmLQY,spotify:track:4IXjfRKNUvj7ynTiHNmLQY,https://api.spotify.com/v1/tracks/4IXjfRKNUvj7ynTiHNmLQY,https://api.spotify.com/v1/audio-analysis/4IXjfRKNUvj7ynTiHNmLQY,267480,3
Autoheart,Lent,Stalker's Tango,0pEC10owcK34KgGYGddAqU,0.651,0.309,11,-12.794,0,0.032,0.21,0,0.0994,0.65,120.134,audio_features,0pEC10owcK34KgGYGddAqU,spotify:track:0pEC10owcK34KgGYGddAqU,https://api.spotify.com/v1/tracks/0pEC10owcK34KgGYGddAqU,https://api.spotify.com/v1/audio-analysis/0pEC10owcK34KgGYGddAqU,175000,4
The Oh Hellos,Notos,Constellations,7g3MdW9vvunaniaNq4C8Fe,0.56,0.505,6,-10.534,1,0.0337,0.258,0,0.117,0.263,85.0,audio_features,7g3MdW9vvunaniaNq4C8Fe,spotify:track:7g3MdW9vvunaniaNq4C8Fe,https://api.spotify.com/v1/tracks/7g3MdW9vvunaniaNq4C8Fe,https://api.spotify.com/v1/audio-analysis/7g3MdW9vvunaniaNq4C8Fe,227910,4
Matt Maltese,No One Won The War,No One Won The War,3FBx1XOA110HBJqZZgwjc8,0.434,0.472,2,-9.078,1,0.0289,0.275,0.914,0.102,0.115,67.066,audio_features,3FBx1XOA110HBJqZZgwjc8,spotify:track:3FBx1XOA110HBJqZZgwjc8,https://api.spotify.com/v1/tracks/3FBx1XOA110HBJqZZgwjc8,https://api.spotify.com/v1/audio-analysis/3FBx1XOA110HBJqZZgwjc8,252867,4
The Correspondents,Puppet Loosely Strung,Puppet Loosely Strung,54zjAmM6zJoW8X0t8brP7u,0.424,0.676,1,-8.643,1,0.134,0.0136,0.000116,0.116,0.268,76.318,audio_features,54zjAmM6zJoW8X0t8brP7u,spotify:track:54zjAmM6zJoW8X0t8brP7u,https://api.spotify.com/v1/tracks/54zjAmM6zJoW8X0t8brP7u,https://api.spotify.com/v1/audio-analysis/54zjAmM6zJoW8X0t8brP7u,314813,4
Kate Bush,Never for Ever (2018 Remaster),Babooshka - 2018 Remaster,6VpNGCU2ig4NQmsLfALdJU,0.49,0.362,5,-12.047,0,0.0382,0.762,1.14e-05,0.0671,0.292,108.866,audio_features,6VpNGCU2ig4NQmsLfALdJU,spotify:track:6VpNGCU2ig4NQmsLfALdJU,https://api.spotify.com/v1/tracks/6VpNGCU2ig4NQmsLfALdJU,https://api.spotify.com/v1/audio-analysis/6VpNGCU2ig4NQmsLfALdJU,199227,4
Lana Del Rey,Born To Die - The Paradise Edition,Lolita,696cNqpF2NwRLzC7KqCurz,0.493,0.946,0,-4.304,0,0.124,0.0744,4.89e-05,0.351,0.134,135.955,audio_features,696cNqpF2NwRLzC7KqCurz,spotify:track:696cNqpF2NwRLzC7KqCurz,https://api.spotify.com/v1/tracks/696cNqpF2NwRLzC7KqCurz,https://api.spotify.com/v1/audio-analysis/696cNqpF2NwRLzC7KqCurz,220040,4
Kiki Rockwell,Same Old Energy,Same Old Energy,7qkfs7TdDhaZ9l4YUf2UeU,0.741,0.331,9,-14.398,1,0.136,0.643,0.00206,0.107,0.35,83.93,audio_features,7qkfs7TdDhaZ9l4YUf2UeU,spotify:track:7qkfs7TdDhaZ9l4YUf2UeU,https://api.spotify.com/v1/tracks/7qkfs7TdDhaZ9l4YUf2UeU,https://api.spotify.com/v1/audio-analysis/7qkfs7TdDhaZ9l4YUf2UeU,208693,4
Florence + The Machine,Between Two Lungs,Kiss With A Fist,35SoUqPtT7tgqBco7FSnCN,0.4,0.791,2,-5.346,1,0.116,0.00287,0.000137,0.0637,0.573,106.765,audio_features,35SoUqPtT7tgqBco7FSnCN,spotify:track:35SoUqPtT7tgqBco7FSnCN,https://api.spotify.com/v1/tracks/35SoUqPtT7tgqBco7FSnCN,https://api.spotify.com/v1/audio-analysis/35SoUqPtT7tgqBco7FSnCN,124240,4
